,ID,label,tanggal,judul,narasi,nama file gambar
17,5994,1,14-Mar-18,Pesan Berantai Undian Berhadiah Dari Kementerian Tenaga Kerja Untuk Pekerja Migran Indonesia  di Hongkong,pesan hadiah menteri tenaga indonesia informasi resmi republik indonesia selamat pilih harga   tenaga indonesia negara  registrasi hubung  kunjung  pemberitahuan whatsapp arti resmi harga  harga bebas biaya bebas pajak perintah republik indonesia  urus harga polisi negara republik indonesia hindar hati hati tipu urus biaya oknum oknum kirim ,5994.png
18,6503,1,11-Dec-17,Indonesia di Penuhi PKI,indonesia penuh pki indonesia penuh pki,6503.jpg
19,6775,0,25-Oct-17,Sandi Sarankan Warga Ngadu ke Kelurahan Saja,sandi saran warga lurah sandiaga saran warga lurah kota,6775.jpg
20,6836,1,12-Oct-17,Demo dan Konflik antara Ojek Online dengan Angkutan Umum di Bandung,demo online bandung prediksi besok bandung kota besok kubu  demo  online gabung kumpul kubu gabung tabrak mati buah batu mati tabrak online hilang kabar,6836.jpg
21,7038,0,13-Jul-17,"Irina, Istri Ahli IT Hermansyah disebut Mantan PSK",istri ahli istri ahli,7038.jpg
22,7214,0,8-Mar-17,"Nezar Patria adalah Kader PKI, Ikut Rapat Setiap Malam di Istana Setelah Jam 8 Malam, Demikian Tuduhan dari Alfian Tandjung",kader pki rapat malam istana jam  malam tuduh kader pki rapat malam istana jam  malam tuduh,7214.jpg
23,7914,1,13-Jul-16,: Hati -hati Panggilan Telpon Nomor Tidak Dikenal !!,hati hati panggil nomor kenal hati hati panggil nomor kenal,7914.jpg
24,8176,1,15-Sep-15,Larangan anti-miras di Minimarket ditiadakan oleh rezim Jokowi paska Gobel,larang anti   rezim jokowi  menteri dagang laku bijak larang jual minum alias minum keras indonesia larang atur menteri dagang nomor      hadap edar jual minum ubah,8176.jpg
25,8330,1,11-Aug-20,Corona adalah hoaks,corona corona hoax,8330.jpg
26,8508,1,28-Jul-20,Kapal Kargo Pengangkut Kadrun tenggelam di Laut China Selatan,kapal tenggelam laut china kapal indonesia china lapor tenggelam laut china malam   bocor kapal kapal china coba vaksin covid harga monyet china harga  murah harga monyet tiongkok celaka,8508.png
27,8624,1,20-Jul-20,Foto Gubernur Anies sedang Makan dengan Sekumpulan Orang Jawa Tulen,foto gubernur anies makan kumpul jawa lihat kumpul jawa jawa nasi minum pakai bahasa jawa alias sungguh pki,8624.jpg
28,8636,1,19-Jul-20,Mulan Jameela Undur Diri dari DPR RI,dpr mundur hormat pecat sanggup,8636.jpg
29,8873,1,24-Jun-20,"Video FKPPI dari Bandung sudah berkumpul di Monas, siap siaga apabila RUU HIP di-syahkan oleh DPR",video bandung kumpul monas siaga   dpr bandung kumpul monas siaga   dpr jihad mati bela negara ancam,8873.png
30,8983,1,11-Jun-20,30 Pembantu Baru Positif Corona di Penjaringan, bantu positif corona jaring bantu  positif corona,8983.jpg
31,9226,1,14-May-20,Foto SUDJIATMI DISIKSA DI ALAM BARZAKH,foto siksa siksa presiden jokowi siksa kubur   jenazah kubur makam beliau nyata presiden joko widodo,9226.png
32,9299,1,9-May-20,Berdamai dengan Corona yang Dimaksud Jokowi adalah Pemerintah Telah Kalah dan Menyerah,damai corona maksud jokowi perintah kalah serah kemarin lawan virus corona damai virus corona arti perintah kalah bendera putih tanda serah,9299.jpg
33,9522,1,20-Apr-20,Penerima Stiker pada Pesan Whatsapp Dikenakan Sejumlah Biaya,pesan whatsapp biaya group untung gambar saudara bayar  ,9522.png
34,9963,1,12-Mar-20,Foto  Mahfud MD Mengaku Mirip Ashraf Ingin Nikahi BCL,foto nikah pria nikah,9963.png
35,10015,1,1-Mar-20,"Telah diculik Umur anak 5 bulan, Kejadian d Angkot lebak bulus parung Ibunda si bayi dihipnotis",umur anak  bayi umur anak  perempuan bayi turun pondok laku culi  jam  ,10015.png
36,10122,1,12-Feb-20,Virus Corona Sudah Sampai di Apartemen Taman Anggrek,virus corona info virus corona wuhan tutup mall operasi rugi barusan info suami cina cina kasih,10122.jpg
37,10150,1,6-Feb-20,Presiden Cina Xi Jinping Mengunjungi Masjid dan Meminta Umat Islam Berdoa Untuk Negeri yang Sedang Dilanda Krisis,presiden cina masjid umat islam doa landa presiden cina masjid umat islam doa negara landa butuh bantu,10150.jpg
38,10288,1,10-Jan-20,Pesan Berantai Biaya Tilang Baru,pesan biaya tilang biaya tilang indonesia kapolri     bawa sim    pakai  ,10288.jpg
39,10377,1,30-Dec-19,Video Jokowi Mulai Pucat SBY Ungkap Pelaku Korupsi,video jokowi sby laku korupsi jokowi sby duga,10377.jpg
40,10439,1,20-Dec-19,All Jakarta Water Park,jakarta park kenal jakarta park,10439.png
41,10542,1,3-Dec-19,Pergantian Kartu Keluarga Warga DKI Jakarta,ganti kartu keluarga warga dki jakarta dinas jakarta wajib warga jakarta ganti imbau data perintah data status nikah darah anggota keluarga,10542.png
42,10580,1,27-Nov-19,usus ibunya dimakan oleh Bayi ini,makan bayi bayi  perut habis makan bayi dokter bayi bayi tangan  jam bayi bayi bayi lahir   jam  bayi lahir allah bayi bunuh dokter mati  bayi mati india,10580.png
43,10772,1,15-Oct-19,Foto awan mengerikan di Jepang,foto jepang moga selamat,10772.png
44,10927,1,19-Sep-19,Narasi Presiden Korea Utara menghukum pejabatnya yang korupsi,narasi presiden korea hukum jabat korupsi presiden korea hukum jabat korupsi hadap media tangan,10927.png
45,10963,1,14-Sep-19,Almarhum Habibie di Formasi Jas Merah Mob UMM,merah merah   putih ahmad logo peta indonesia pray lombok,10963.png
46,11139,1,9-Aug-19,Petugas Tewas Tersetrum Ketika Melakukan Perbaikan Listrik,tugas tewas laku listrik camat,11139.png
47,11725,1,23-Apr-19,TV Luar Negeri Sudah Memberitakan Prabowo The Next Presiden,tv berita prabowo presiden tv berita prabowo presiden,11725.png
48,11785,1,16-Apr-19,Ketua KPU Umroh Bareng Jokowi,ketua kpu jokowi ketua kpu jokowi kpu langgar,11785.png
49,12104,1,21-Feb-19,Tiket Promo Kereta Api Hut BUMN 21,tiket kereta api bumn  kereta tiket,12104.jpg
50,12496,1,25-Dec-18,Simulasi orang Gila di bawa ke TPS saat pemilu nanti,bawa bawa dunia,12496.png
51,12530,1,18-Dec-18,BROADCAST WHATSAPP INFO TEST SELEKSI GTT/PTT,whatsapp info test seleksi guru info,12530.png
52,12594,1,3-Dec-18,Puan Maharani Buka Posko Logistik di Reuni 212,buka  info alumni  harap hindar  monas  istiqlal sebar,12594.png
53,12975,1,02-Okt-18,Penerbangan Pesawat Hercules Gratis Ke Palu Untuk Keluarga Korban Gempa dan Tsunami,terbang pesawat gratis palu keluarga korban gempa tsunami malam jam     besok makassar,12975.jpg
54,13209,1,29-Agu-18,Capt. Pribadi adalah pengemudi pesawat yang mengijinkan Hj. Neno Warisman,pribadi pesawat pribadi pesawat sang makar sistem keras suara pesawat,13209.jpg
55,13483,0,17-Jul-18,"Coach Indra Sjafri: Saya Pernah 1 Tahun Tak Digaji, tapi Ikhlas", gaji indonesia  putar ,13483.png
56,13732,1,30-May-18,Dua Alquran Yang diklaim Sebagai Al-Quran Palsu Kembali Beredar,klaim   palsu edar palsu karang kafir,13732.png
57,13873,1,5-May-18,Yel-yel Kecebong Yang Merencanakan Untuk Menyusup di CFD,rencana video liat rencana hancur gantipresiden riau allah balas tipu,13873.png
58,13907,0,28-Apr-18,Kronologis Polisi Berondong Sedan Terobos Razia di Lubuklinggau,polisi mobil keluarga tembak polisi tewas,13907.png
59,13931,0,26-Apr-18,Kemristekdikti: bukan undang dosen asing tapi profesor kelas dunia,undang dosen asing kelas dunia dosen asing kelas dunia indonesia universitas direktur jenderal jakarta,13931.png
60,14179,1,14-Mar-18,"Kecam Pernyataan Said Aqil, Neno Warisman: Kami Para Ibu Tidak Terima!",nyata nyata nyata ketua pbnu nonton film dengar giat didik anak tulis marah tulis,14179.png
61,14482,1,19-Jan-18,Memerangi Allah Of Kung Fu,allah rupa google game asli judul,14482.png
62,14631,1,19-Dec-17,Permen Susu Mengandung Narkoba,permen kandung narkoba informasi dokter anak makan permen  makan saran temen dokter bawa permen nyata positif kandung narkoba,14631.png
63,15289,1,12-May-17,Konser Anies - Sandi No 3 Menang Telak,anies  sandi  menang  menang,15289.jpg
64,15502,1,18-Feb-17,Poster Aksi Damai Bela Islam 5 Yang Mencantumkan Nama dan Foto Gatot Nurmantyo,poster aksi damai bela islam  foto gatot edar poster aksi damai bela islam  viral media sosial poster foto panglima tni jenderal gatot,15502.jpg
65,15563,0,7-Feb-17,Surat C6 Sebagai Syarat Memberikan Hak Pilih Pada Pilkada DKI Jakarta,surat syarat hak pilih pilkada dki jakarta pilkada dki  pilih wajib ambil surat   urus  surat ambil kpu warga dki pilih jam     bawa   ktp asli   suara sebar,15563.jpg
66,15590,1,30-Jan-17,: Pernyataan Danjen Kopassus Dukung FPI,nyata dukung fpi tni sejarah buruk ulang fpi ormas suka bantu bubar ormas suka suka bikin masyarakat,15590.jpg
67,15839,1,14-Dec-16,Gambar Salib Pada Barang Bantuan Bencana,gambar salib bantu bencana hati hati teliti bantu korban gempa gambar salib bantu edar,15839.png
68,15882,1,5-Dec-16,AKSI 212 DAPAT PENGHARGAAN REKOR DUNIA,aksi  harga dunia sebar gambar nyata aksi  harga dunia,15882.jpg
69,16682,1,29-Jul-20,Foto Petinggi Kepolisian Mengizinkan Demo Neo PKI,foto polisi demo pki demo pki polisi tunggu perang,16682.jpg
70,17142,1,15-Jun-20,Tulisan Mana teriakan Saya Pancasila mu? Oleh Dr Abdul Muti MEd,tulis pancasila abdul pancasila abdul,17142.png
71,17256,1,2-Jun-20,"Petugas Rapid Test Jarang Mengganti Sarung Tangan, Bisa Tularkan Covid-19 dari Pasien Sebelumnya",tugas test ganti tangan tular covid pasien tugas tangan tangan pakai pakai ganti ganti tugas pegang ganti tangan tugas pegang letak rawan tular virus tugas pegang positif tular laku,17256.png
72,17361,1,20-May-20,Video Dokter Bule,video dokter dokter rupa data lengkap covid  mati sembuh sakit daftar covid  lockdown psbb timbul dampak buruk covid ,17361.jpg
73,17570,1,2-May-20,Vietnam Tidak Ada Korban Meninggal Covid-19 Karena Teh dan Lemon,vietnam korban covid kabar gembira vietnam korban covid  mati berita obat virus covid  capai informasi negara vietnam virus covid  mati nyata sederhana   minum panas campur bunuh virus covid  hilang virus covid  tubuh  bahan sistem tubuh malam sistem tubuh vietnam sebar virus covid  vietnam minum air panas malam bukti bunuh virus covid  sederhana infeksi virus covid  tuhan selamat coba,17570.jpg
74,18000,1,23-Mar-20,Ratusan Warga China yang Menetap di Indonesia Menuju Singapura karena Virus Corona,warga china indonesia singapura virus corona warga china indonesia indonesia singapura situasi virus corona serang indonesia situasi indonesia normal,18000.png
75,18087,1,16-Mar-20,Dua orang Terinfeksi Virus Corona Di Parepare,infeksi virus corona infeksi virus corona waspada main main,18087.png
76,18129,1,14-Mar-20,the Simpsons 1993 memprediksi Corona virus dari China, prediksi corona virus china  corona virus china,18129.png
77,18283,1,18-Feb-20,Setelah Membakar Al-Quran Jari Tangan Pria Ini Menghitam dan Membusuk Mengeluarkan Bau Menjijikan,bakar   jari tangan pria hitam busuk azab warga negara bakar   sakit jari tangan busuk hitam timbul,18283.png
78,18519,1,5-Jan-20,"Marak Lowongan Kerja Mengatasnamakan Perusahaannya, PT Inalum Minta Masyarakat Waspada",marak lowong mengatasnamakan usaha masyarakat waspada humas informasi tipu harap masyarakat tipu rekrutmen,18519.png
79,18600,1,26-Dec-19,Cara Cepat Cek Jantung Dengan Air dan Es Batu,cepat cek jantung air es batu sehat jantung sederhana deteksi sehat jantung jaga jantung fungsi sehat,18600.png
80,18997,1,7-Oct-19,Presiden Jokowi Melecehkan Bendera Merah Putih,presiden jokowi bendera merah putih coba indonesia nyata tahan polda metro pegang merah putih tangan kuat hukum anak bela,18997.png
81,19197,1,3-Sep-19,Suntingan Video Merry Riana Indonesia Bubar?,sunting video indonesia bubar viral indonesia bubar video asli tonton habis,19197.png
82,19203,1,3-Sep-19,SEMUA YANG BERBAU JAWA DI JAYAPURA HANCUR,jawa hancur video bandara  jawa hancur,19203.png
83,19387,0,26-Jul-19,Bahaya Daging Kurban Dibungkus Kresek Hitam,bahaya daging bungkus hitam ridwan plastik warna hitam kandung warna campur daging kanker ridwan plastik warna hitam kandung warna campur daging kanker,19387.png
84,19735,1,21-May-19,AM HendroPriyono Meninggal Di Singapura,singapura mati bantai rakyat singapore karna bantai manusia,19735.png
85,20112,0,22-Mar-19,Penjelasan terkait Video Truk Kontainer Bergambar Jokowi-Maruf Amin,kait video gambar jokowi   maruf paslon  bawa,20112.png
86,20370,1,8-Feb-19,Bahaya Semut/Kutu Jepang utk DIABETES.,bahaya jepang info bahaya jepang sahabat konsumsi jepang obat konsumsi jepang nyata bakteri rusak potong,20370.png
87,20401,1,6-Feb-19,CNN Indonesia Buat Berita Berjudul SERTIFIKAT GANDA KERJA REZIM JOKOWI,indonesia berita judul rezim jokowi indonesia rezim jokowi  ,20401.png
88,20424,1,3-Feb-19,paham politik gak sih pak?,paham politik jokowi bikin lihat bodoh paham politik,20424.png
89,21327,1,9-Sep-18,Judul Berita Prabowo: Mengaji Tidak Dibutuhkan Dalam Memimpin Negara,judul berita prabowo butuh pimpin negara prabowo,21327.jpg
90,21364,0,4-Sep-18,Universitas Muhammadiyah Kupang Bantah Akan Menginisasi Gerakan #GantiPresiden2019,universitas muhammadiyah bantah gantipresiden kait dosen gantipresiden kabupaten timur universitas muhammadiyah ban kampus,21364.jpg
91,21547,0,07-Agu-18,PKS dan Gerindra Purwakarta Bantah Pasang Spanduk yang Dinilai Provokatif,pks gerindra bantah pasang spanduk nilai partai gerindra pks tolak khilafah indonesia damai tolak khilafah wilayah muda muslim,21547.png
92,21787,1,30-Jun-18,Kalimantan Barat Memanas,kalimantan panas menang kalah,21787.png
93,21946,1,25-May-18,"Tersangka Ujaran Kebencian Dosen USU, Himma Dewiyana, Dibebaskan",sangka benci dosen bebas kasih ketua bantu bebas,21946.png
94,22200,1,16-Apr-18,Dedi Mulyadi Menghamili Siswi Mts,bupati calon gubernur jawa ban informasi saksi nikah anak masyarakat,22200.png
95,22521,1,21-Feb-18,"DI TUDUH CURI MEDALI MILIK BAMBANG PAMUNGKAS, MUHAMMAD YUSUF BUKA SUARA",tuduh curi buka suara ketua ramai hilang palsu tim,22521.jpg
96,22603,1,31-Jan-18,Malam Nanti Jam 3:25 Pagi Bulan Akan Mengelilingi Kabah,malam jam   keliling malam jam   keliling langit warna biru muda doa  malam laku kirim doa allah selesai kirim moga manfaat aamiin,22603.png
97,22935,1,30-Nov-17,PENDAFTARAN PESERTA UJI NYALI MASIH DUNIA LAIN TRANS 7 DI PABRIK MERCON,daftar dunia  pabrik daftar dunia  kirim data data umur,22935.png
98,23098,1,9-Nov-17,"Kartu SIM XL, Indosat, Smarfren, dan Telkomsel Disadap Badan Intelijen AS",kartu sim indonesia nyata lapor kait duga kartu sim  security,23098.jpg
99,23171,1,23-Oct-17,Rombongan Anies-Sandi Ditilang dan Tak Miliki Izin Patwal di Puncak Bogor,rombong anies   sandi tilang puncak bogor rombong anies   sandi tilang puncak bogor,23171.jpg
100,23339,1,16-Sep-17,Foto John Kei yang Sudah Disunting,foto sunting jenderal batu niat islam putus islam alias pemuda pulau jakarta,23339.jpg
101,23390,0,22-Aug-17,Pengoperasionalan Kereta Bandara,kereta bandara kunjung jakarta  agustus  kereta api bandara   hatta,23390.jpg
102,23414,0,18-Jul-17,Tusuk Gigi Sebarkan HIV AIDS,tusuk sebar tusuk sebar,23414.jpg
103,23451,1,25-May-17,Pelaku Bom Kampung Melayu adalah Anggota Polisi,laku bom kampung anggota polisi laku bom kampung anggota polisi,23451.png
104,23618,1,5-Mar-17,: Pembubabaran Pengajian Ustad Khalid Basalamah Oleh Banser NU,banser banser,23618.jpg
105,23913,1,6-Jan-17,Foto Helikopter-Tank Pertama di Dunia Buatan Turki dan Pakistan,foto   dunia turki foto   dunia turki,23913.jpg
106,23982,1,19-Dec-16,Es Krim Merek AICE Bosnya Orang Cina dan Bahannya Kimia Semua,es bos cina bahan siang es marak bisnis letak makam haji lihat spanduk tulis china jaga bos jakarta solo china china ketemu buah mobil putih bos mobil china asli china tunggu bos mobil nyata,23982.jpg
107,24051,1,10-Dec-16,Video yang menunjukkan anak Muslim yang disiksa oleh Budha di Myanmar,video anak muslim siksa myanmar video anak muslim siksa myanmar,24051.png
108,24179,1,19-Nov-16,Foto Kerusuhan Demo Anti Trump di Amerika Serikat,foto rusuh demo anti trump serikat foto rusuh demo anti trump serikat,24179.jpg
109,24793,1,5-Aug-20,"bentrok antar ormas Gerakan Jaga Indonesia dengan FPI, LPI dan HTI di Kota Bandung pada 27 Juli 2020",ormas jaga indonesia fpi kota bandung  juli  aksi demo dpr   laku  pdi   djarot injak bakar poster habib rizieq nyata kota bandung ormas jaga indonesia   pdi   ormas   ormas islam fpi bela jaga pancasila nkri ulama  anggota jaga indonesia pdi   mati fpi  alami luas bakar toko pdi   lempar bom aparat polisi berani,24793.png
110,25164,1,6-Jul-20,Video Kecelakaan Maut Di Air Terjun Uluk Til Belu NTT,video celaka air celaka air,25164.jpg
111,25240,1,26-Jun-20,Aliran Komunis & Gerakan PKI Bangkit Lewat PDIP,komunis pki bangkit pdip tugas partai ketua pdip megawati jokowi nilai modus tugas partai partai pki,25240.png
112,25358,1,11-Jun-20,Gubernur Jakarta Anies Baswedan mendapat penghargaan terbaik di seluruh dunia dalam penanganan COVID-19,gubernur jakarta anies baswedan harga dunia tangan covid gubernur jakarta anies baswedan harga dunia tangan covid,25358.png
113,25865,1,24-Apr-20,masyarakat New Zealand belajar Wudhu,masyarakat new zealand kabar new zealand masyarakat new zealand kumpul lapang islam allah akbar sungguh allah hati manusia,25865.png
114,25943,1,14-Apr-20,Sejumlah Polisi India Telah Tiba Di Indonesia,polisi india indonesia kabar polisi india indonesia masyarakat rumah minyak,25943.png
115,26079,1,1-Apr-20,Pasukan Tentara Membantu Melawan Virus Corona di New York,tentara bantu lawan virus corona new new wuhan,26079.jpg
116,26194,1,22-Mar-20,Video KELUYURAN DILUAR RUMAH? DI MALAYSIA DITEMBAK API PAKAI DRONE,video rumah malaysia tembak api pakai rumah malaysia tembak api pakai,26194.png
117,26269,1,17-Mar-20,"Antisipasi Corona, Seluruh BUMN DKI Ditutup",corona bumn dki tutup corona bumn dki tutup,26269.png
118,26790,1,26-Dec-19,Jokowi Halal Dilengserkan,jokowi halal manusia nilai,26790.png
119,26832,1,18-Dec-19,"Sandiwara Dagelan koplax, di perskusi sendiri,di viralkan sendiri,di laporkan sendiri, minta maaf dan memaafkan sendiri",viralkan lapor viralkan lapor sakit jiwa,26832.png
120,26906,1,5-Dec-19,"Beredar Surat Rekrutmen Satpol PP, Kepala Satpol PP dan Damkar Sintang Angkat Bicara",edar surat rekrutmen kepala angkat bicara kepala tanda tangan,26906.png
121,27177,1,9-Oct-19,Ketua KPU Imbau Masyarakat Hormati Hasil Pemilu Walau Banyak Kecurangan,ketua kpu imbau masyarakat hormat curang ketua kpu imbau masyarakat hormat curang,27177.png
122,27287,1,23-Sep-19,Universitas Brawijaya dan UMM Bantah Liburkan Perkuliahan karena Ada Aksi Mahasiswa,universitas bantah libur aksi mahasiswa giat normal giat kampus normal,27287.png
123,27538,1,16-Jan-17,Luthfi Abdul Hadi Meminta Maaf kepada Kiai Said Aqil Siroj,abdul gubernur jatim turun tangan selesai fitnah tuduh tum pbnu prof moga tukang fitnah,27538.jpg
124,27606,1,23-Jul-19,Asosiasi Guru Bahasa dan Sastra Indonesia Kecam Anies Baswedan,guru bahasa indonesia anies baswedan guru bahasa indonesia anies baswedan tata bodoh warga jakarta,27606.png
125,27617,1,20-Jul-19,Khoirul Anwar Penemu 4G LTE,temu anggap anggap kumpul jepang anggap pikir,27617.png
126,27940,1,19-May-19,Syukuran Jokowi 2 p,syukur jokowi  syukur jokowi  bawa salam jokowi,27940.png
127,27969,1,13-May-19,Video Polisi Tembak Saksi Saat Rekap Pleno KPU,video polisi tembak saksi kpu polisi tembak saksi kpu,27969.jpg
128,28265,0,28-Mar-19,Penjelasan KPU Gowa terkait Baliho Surat Suara yang Tidak Mencantumkan Foto Capres-Cawapres Prabowo-Sandi,kpu kait surat suara foto capres   cawapres prabowo   sandi pasang contoh surat suara pilpres kpu foto capres cawapres  kpu,28265.jpg
129,28353,1,15-Mar-19,Masukan Persatuan Tunanetra Indonesia Terkait Braile Surat Suara di Jakarta 80% Salah Semua,indonesia kait surat suara jakarta  info indonesia surat suara kpu nyata ,28353.jpg
130,29408,0,25-Sep-18,Kementan Bantah Siluet Wajah yang Ada Dibungkus Plastik Bertuliskan Beras Segar dan Toko Tani Indonesia ialah Presiden Jokowi,bantah wajah bungkus plastik tulis beras toko indonesia presiden jokowi gambar foto beras toko indonesia foto presiden jokowi foto kepala humas informasi publik  ,29408.jpg
131,29684,0,15-Agu-18,Dinkes Aceh Membantah Atas Isu Pelajar Lumpuh Setelah Vaksin MR,dinkes aceh ban vaksin hubung sakit efek vaksin,29684.jpg
132,29960,1,3-Jul-18,Hasil Scanning Port Bolong,kpu server bawa,29960.png
133,29986,1,29-Jun-18,REKRUTMEN PT PINDAD,rekrutmen hubung rekrutmen calon karyawan wilayah liput sulawesi,29986.png
134,29994,0,29-Jun-18,: Maradona Bantah Kabar Dirinya Meninggal Usai Laga Argentina vs Nigeria Pada Piala Dunia 2018,bantah kabar dunia  bantah kabar dunia ,29994.jpg
135,30503,1,23-Mar-18,"Mark Zuckerberg, CEO Facebook, Menemukan Kata BFF",facebook temu test facebook temu akun facebook komentar lihat akun lindung warna ubah sandi,30503.png
136,30622,0,4-Mar-18,Penjelasan Terkait Berita Muslim Cyber Army yang Tidak Sesuai Standar,kait berita muslim dasar temu fakta unggah artikel kait cari akun,30622.png
137,30669,0,27-Feb-18,"Teror Kiai di Ponpes Kediri Hoax, Ini Cerita Sebenarnya",hoax cerita hoax cerita,30669.png
138,30763,0,8-Feb-18,Penganiayaan Ulama di Bogor,aniaya ulama bogor aniaya ulama jabar ulama bogor bogor umat islam rapat waspada waspada,30763.png
139,30842,0,26-Jan-18,Bahaya Makan Rambutan Sambil Minum Teh Manis Sebabkan Penyumbatan Saluran Pernapasan,bahaya makan minum bahaya makan minum,30842.jpg
140,31136,1,30-Nov-17,Jalan Slamet Riyadi Kota Solo Tergenang Banjir,kota solo banjir kota solo informasi hoax kait banjir solo,31136.jpg
141,31199,1,21-Nov-17,Mahalnya Biaya Sekolah Pelayaran,biaya sekolah layar  sekolah layar bayar didik militer sakit hati sakit,31199.jpg
142,32397,1,5-Nov-16,Video Peserta Aksi 411 Merusak Toko,video aksi  rusak toko video demo warung jakarta  malam share laku,32397.jpg
143,32586,1,26-Mar-16,51% Saham Taxi Express Sudah Dimiliki oleh Sandiaga Uno, sandiaga uno  usaha sandiaga uno,32586.jpg
144,32644,1,11-Dec-15,Mesin Mobil Sering Mati Di Atas Rel Kereta Api,mobil mati kereta api mobil mati lintas kereta api lintas,32644.jpg
145,32721,0,22-Oct-15,Indonesia Gagal Wujudkan Swasembada Pangan,indonesia gagal perintah rencana impor beras  indonesia gagal,32721.png
146,33205,1,19-Jul-20,Media Tidak Menyiarkan Demo RUU HIP,media siar demo percaya tv tv siar demo tolak desa percaya tv tv rezim kuasa rakyat buka mata pikir covid  bodoh,33205.jpg
147,33428,1,26-Jun-20,PEMBAKAR BENDERA PDI-P TERNYATA ADALAH ANGGOTA SIMPATISAN PDI-P SENDIRI,bakar bendera pdi   nyata anggota pdi   bawa bakar lapor pki tukang tolak   pki umat pki suka fitnah dukung bela pki dosa pki percaya yesus agama pki    dukung neraka,33428.png
148,33476,1,21-Jun-20,Minggu 21 Juni 2020 Baim Wong Rilis Hadiah Buat 500 Orang Pemenang,  hadiah  menang    menang hadiah,33476.jpg
149,33589,1,8-Jun-20,Panggilan Seleksi Rekrutmen Pertamina Tanggal 7-8 Juni 2020,panggil seleksi rekrutmen pertamina   surat nomor  pertamina persero  perihal panggil seleksi rekrutmen karyawan surat lokasi seleksi rekrutmen   medan merdeka timur jakarta pusat,33589.jpg
150,34190,1,9-Apr-20,Tidak ada sama sekali Ucapan bela sungkawa Presiden kepada dr dan team medis yg berguguran dimedan Covid-19,bela presiden medis medan covid bela presiden medis medan covid,34190.png
